ts_code,year,营业总收入(亿),净利润(亿),股本(万),每股分红,分红金额(亿),分红率,净利润率
600809.SH,2021,199.7099,53.1348,122007.3422,1.8,21.9613,41.33,26.61
600809.SH,2020,139.898,30.7936,87151.0266,0.2,1.743,5.66,22.01
600809.SH,2019,118.8007,19.3937,87152.8266,0.9,7.8438,40.44,16.32
600809.SH,2018,93.8194,14.6567,87152.8266,0.75,6.5365,44.6,15.62
600809.SH,2017,60.3748,9.4338,86584.8266,0.6,5.1951,55.07,15.63
600809.SH,2016,44.0495,6.0375,86584.8266,0.55,4.7622,78.88,13.71
600809.SH,2015,41.2856,5.2636,86584.8266,0.32,2.7707,52.64,12.75
600809.SH,2013,60.872,9.6042,86584.8266,0.3325,2.8789,29.98,15.78
600809.SH,2012,64.7876,13.2731,86584.8266,0.76,6.5804,49.58,20.49
600809.SH,2011,44.8815,7.8055,43292.4133,0.35,1.5152,19.41,17.39
600809.SH,2010,30.1663,4.9449,43292.4133,0.45,1.9482,39.4,16.39
600809.SH,2009,21.4345,3.5499,43292.4133,0.45,1.9482,54.88,16.56
